actual,detected,cpv,cpv_desc,object
subministrament,servei,37420000-8||37420000-8,,"Arrendament de maquinària de fitness, de software de control que ajudi a integrar sistemes de treball en equip, programes de qualitat i Kpi’s del Complex Esportiu Municipal Els Joncs."
subministrament,servei,43800000-1,,1.4.6. Contracte menor de 10.000 o més - Contracte pel projecte de reforç escolar pels alumnes de l’Institut Ernest Lluch .
obra,subministrament,45233340-4,,1.4.6. Contracte menor de 10.000 o més - Treballs de reposició de panots
servei,subministrament,79110000-8,,Representació en procediment laboral 84/2023/3
servei,subministrament,79110000-8,,Representació en procedimentJDL 175.2023.F4
servei,subministrament,79110000-8,,Representació en procediment ordinari 431/2024/F
servei,subministrament,50324200-4,,subministrament d’equips per a la generació d’energia solar fotovoltaica
servei,subministrament,80410000-1,,"1.4.6. Contracte menor de 10.000 o més - Supervisió i ajuda activa per part d’un docent qualificat, per als alumnes de les escoles Pompeu Fabra, Solcunit i Cossetans."
subministrament,servei,39516000-2,,1.4.6. Contracte menor de 10.000 o més - subministrament taula tàctil informació turística
subministrament,servei,48329000-0,,1.4.6. Contracte menor de 10.000 o més - Servei d'inventari de documentacio
obra,servei,45331000-6||45331000-6||45331000-6,,Els treballs continguts en el projecte de reforma de la climatització i aportació de l'aire primari per a la llar d'infants \El Trenet\ a Cunit
servei,subministrament,79110000-8,,Representació en procediment judicial JDL 175.2023.F4
servei,subministrament,79110000-8,,Representació en procediment judicial ordinari 339/2023/D
servei,subministrament,79110000-8,,Representació en procediment abreujat 462/2022/A
subministrament,servei,30211300-4,,1.4.6. Contracte menor de 10.000 o més - Serveis per creació d'una plataforma de suport a la tramitació omnicanal multidioma\n
servei,obra,85312500-4,,"1.4.6. Contracte menor de 10.000 o més - Contracte menor d'obra, Memòria valorada: habilitació aules de música antic cap de Cunit.\n"
subministrament,obra,44212230-0,,1.4.6. Contracte menor de 10.000 o més - Direcció de l’execució material de l’obra i el control qualitatiu i quantitatiu de la construcció i coordinació Seguretat i Salut.(ampliació sales Cem Joncs)\n
obra,servei,45213316-1,,1.4.6. Contracte menor de 10.000 o més - Servei de col·locació de pasarel·les fixes de formigo\n
obra,subministrament,45316100-6||45316100-6,,Esmena dels defectes reflectits a les actes de les inspeccions periòdiques del 2023.\nReforma dels punts de llum per obtenir una millora de l’eficiència energètica i per substituir elements que o ja son obsolets o ho esdevindran per la previsió que els recanvis necessaris per poder mantenir deixaran d’estar disponibles al mercat en un període relativament curt.
obra,servei,45255420-9||45255420-9,,Servei d’abalisament per tal de garantir la seguretat de la zona de bany de les platges del terme municipal de Cunit
subministrament,servei,34928530-2,,serveis i subministrament d'elements d'eficiència energètica en l'enllumenat públic
obra,servei,45231300-8||45231300-8,,"L’objecte del contracte que es proposa són els treballs continguts en el “Projecte constructiu de la renovació de la xarxa en baixa, sectorització i regulació de pressions al terme municipal de Cunit”"
subministrament,servei,37524000-7,,1.4.6. Contracte menor de 10.000 o més - Contractació de reparació de diversos elements dels jocs infantils\n
servei,subministrament,85100000-0,,1.4.6. Contracte menor de 10.000 o més - Pla local de salut\n
servei,subministrament,71540000-5,,1.4.6. Contracte menor de 10.000 o més - Contractació del servei de direcció d'obres per l'ampliació del gimnàs Municipal\n
servei,obra,71520000-9,,1.4.6. Contracte menor de 10.000 o més - Direcció de l’execució material de l’obra i el control qualitatiu i quantitatiu de la construcció i coordinació Seguretat i Salut.(ampliació sales Cem Joncs)\n
obra,servei,45231300-8,,Treballs continguts en el “Projecte constructiu de les obres de digitalització de la xarxa d’abastament d’aigua potable al terme municipal de Cunit”.
obra,servei,45316100-6,,serveis i subministrament d'elements d'eficiència energètica en l'enllumenat públic
servei,subministrament,80500000-9,,1.4.6. Contracte menor de 10.000 o més - Activitat de foment de la lectura pel Pla Educatiu d'Entorn de Cunit
servei,subministrament,92312100-2,,1.4.6. Contracte menor de 10.000 o més - Actividat del Pla Educatiu d'Entorn de Cunit (Classes de teatre amb visió de resolució de conflictes.)
subministrament,servei,44613800-8,,Contracte administratiu de subministrament i muntatge de contenidors de càrrega bilateral per a la recollida de residus sòlids urbans al municipi de Cunit
